Distributor,Name,URL ,Dosage (mg),Per Measure,Measure,Dosage per measure,Product Image,,,,,Amazon Associate ID 
Target,Carlyle Zinc 50mg | 150 Gummies,https://www.target.com/p/carlyle-zinc-50mg-150-gummies/-/A-87420273#lnk=sametab,50,3,gummies,16.66666667,https://target.scene7.com/is/image/Target/GUEST_40496b89-dfe8-4b64-bf9a-b05478737ec2?wid=445&hei=445&qlt=80&fmt=webp,,,,,
Target,Nature's Way Sambucus Organic Elderberry and Zinc Lozenges - 24ct,https://www.target.com/p/nature-39-s-way-sambucus-organic-elderberry-and-zinc-lozenges-24ct/-/A-75665490#lnk=sametab,5,1,lozenge  ,5,https://target.scene7.com/is/image/Target/GUEST_ba3545e2-b646-42bd-9d8e-15351c2efbf4?wid=445&hei=445&qlt=80&fmt=webp,,,,,
Target,"Carlson - Zinc, 15 mg, Zinc Gluconate, Immune Support",https://www.target.com/p/carlson-zinc-15-mg-zinc-gluconate-immune-support/-/A-86712070?preselect=86712069#lnk=sametab,15,1,tablet,15,https://target.scene7.com/is/image/Target/GUEST_cdb0cd12-2c60-493c-9e4e-9cbdf54efd5e?wid=475&hei=475&qlt=80&fmt=webp,,,,,
Target,Swanson Mineral Supplements Zinc Citrate 30 mg Capsule 60ct,https://www.target.com/p/swanson-mineral-supplements-zinc-citrate-30-mg-capsule-60ct/-/A-82435835#lnk=sametab,22,1,capsule,22,https://target.scene7.com/is/image/Target/GUEST_f4617581-874d-4cbe-9d2d-85b7d1ec8ef0?wid=445&hei=445&qlt=80&fmt=webp,,,,,
Target,Swanson Mineral Supplements Zinc Citrate 50 mg Capsule 60ct,https://www.target.com/p/swanson-mineral-supplements-zinc-citrate-50-mg-capsule-60ct/-/A-82435843#lnk=sametab,50,1,capsule,50,https://target.scene7.com/is/image/Target/GUEST_cf6f3726-48c7-4e77-a0ab-ef704fe926ee?wid=445&hei=445&qlt=80&fmt=webp,,,,,
Target,Mason Natural Zinc 50mg Dietary Supplement - 100ct,https://www.target.com/p/mason-natural-zinc-50mg-dietary-supplement-100ct/-/A-79962016#lnk=sametab,50,1,tablet,50,https://target.scene7.com/is/image/Target/GUEST_37f4c5c8-1322-4f49-9c8d-d40c5adac403?wid=445&hei=445&qlt=80&fmt=webp,,,,,
Target,Carlyle Zinc 50mg | 300 Tablets,https://www.target.com/p/carlyle-zinc-50mg-300-tablets/-/A-87420272#lnk=sametab,50,1,tablet,50,https://target.scene7.com/is/image/Target/GUEST_0330bb63-de01-499e-8f49-0d40a5eeb940?wid=445&hei=445&qlt=80&fmt=webp,,,,,
Target,"Doctor's Best High Absorption Zinc Bisglycinate, 100% Chelated, 50 mg, 90 Veggie Caps",https://www.target.com/p/doctor-s-best-high-absorption-zinc-bisglycinate-100-chelated-50-mg-90-veggie-caps/-/A-86435525#lnk=sametab,50,1,capsule,50,https://target.scene7.com/is/image/Target/GUEST_c9d3f761-f37f-4fb6-aea0-d305ba3193b3?wid=445&hei=445&qlt=80&fmt=webp,,,,,
Target,Nature Made Elderberry with Vitamin C and Zinc for Immune Support Gummies  ,https://www.target.com/p/nature-made-elderberry-with-vitamin-c-and-zinc-for-immune-support-gummies-raspberry/-/A-87888776?preselect=76613110#lnk=sametab,7.5,2,gummies,3.75,https://target.scene7.com/is/image/Target/GUEST_4ef12c6e-231f-4e70-8bf8-50fad8982d59?wid=445&hei=445&qlt=80&fmt=webp,,,,,
Target,Airborne Immune Support Gummies with Vitamin C & Zinc - Orange - 42ct,https://www.target.com/p/airborne-immune-support-gummies-with-vitamin-c-38-zinc-orange-42ct/-/A-51188775#lnk=sametab,1,3,gummies,0.3333333333,https://target.scene7.com/is/image/Target/GUEST_773a8626-d77f-44c3-8df4-5d537592adf6?wid=445&hei=445&qlt=80&fmt=webp,,,,,
